Component,ParameterCM1,Sales Product,Site CodeCM1,2013CM1,2014CM1,2015CM1,January 2015CM1,February 2015CM1,March 2015CM1,April 2015CM1,May 2015CM1,June 2015CM1,July 2015CM1,August 2015CM1,September 2015CM1,October 2015CM1,November 2015CM1,December 2015CM1,Unnamed: 22CM1,Unnamed: 23CM1,Unnamed: 24CM1,ParameterAmount,Site CodeAmount,2013Amount,2014Amount,2015Amount,January 2015Amount,February 2015Amount,March 2015Amount,April 2015Amount,May 2015Amount,June 2015Amount,July 2015Amount,August 2015Amount,September 2015Amount,October 2015Amount,November 2015Amount,December 2015Amount,Unnamed: 22Amount,Unnamed: 23Amount,Unnamed: 24Amount,SpecificCM1
10000100,CM1,60604239,100,170277.77000000002,172366.59000000003,156181.88,18039.06,9284.82,13122.119999999999,12023.11,10851.47,20108.58,3350.39,-0.04,23938.989999999998,17245.11,4293.97,16192.9,0.0,0.0,0.0,Amount,100,30006.5,27830.5,24557.5,2649.5,1763.0,1780.5,1984.5,1773.5,3525.5,886.0,26.0,4185.0,2668.0,666.5,2649.5,0.0,0.0,0.0,6.359844446706709
10000411,CM1,30040233,50,1309965.97,1522442.34,1442080.19,159061.08,91379.08,176433.1,137944.94,103354.78,78999.37,147870.39,94561.61,110084.93,103811.08,108805.33,117844.9,0.0,0.0,0.0,Amount,50,998253.0,1139629.0,984257.0,107132.0,57266.0,119433.0,97653.0,71195.0,54008.0,105449.0,68301.0,77526.0,71001.0,77500.0,77793.0,0.0,0.0,0.0,1.4651459832137337
10000413,CM1,30040234,50,1027634.8,979294.76,1021423.19,54999.04,93044.82,174587.46,71731.44,90776.06,85167.13,108855.89,62773.98,79385.62,92377.48,49264.09,47962.36,0.0,0.0,0.0,Amount,50,349362.0,327561.0,298951.0,17216.0,29617.0,50805.0,19812.0,27438.0,24808.0,30427.0,20612.0,20603.0,28004.0,14803.0,14806.0,0.0,0.0,0.0,3.4166909961833207
10000416,CM1,30040243,50,108857.96,123630.77,123405.2,7830.66,7466.66,20379.44,4270.04,5247.06,10955.41,15835.31,8372.41,10936.71,14559.06,8984.26,4537.25,0.0,0.0,0.0,Amount,50,33511.0,36282.0,35382.0,2406.0,2220.0,5747.0,1310.0,1666.0,3146.0,4261.0,2591.0,3516.0,4441.0,2590.0,1488.0,0.0,0.0,0.0,3.487796054490984
10000425,CM1,90784044,150,3470428.19,2960699.19,2838539.74,259842.58,242763.85,298524.22000000003,257338.66,270867.85,242083.11000000002,293775.1,244382.49000000002,155675.7,255767.81999999998,201057.23,112627.48,0.0,0.0,0.0,Amount,150,5382502.0,5170095.0,4839191.0,437681.0,418046.0,521548.0,468900.0,452011.0,408725.0,482788.0,405501.0,235616.0,413595.0,387005.0,207775.0,0.0,0.0,0.0,0.58657319787543
10000427,CM1,60248297,100,142165.96,177280.66,207033.03,14540.51,11736.34,22308.29,30413.51,16642.850000000002,5680.38,22625.08,12512.84,14281.220000000001,18484.4,14598.8,9588.55,0.0,0.0,0.0,Amount,100,58854.0,71046.0,109354.0,10545.0,5921.0,13320.0,18500.0,10545.0,2965.0,12215.0,3891.0,5552.0,11470.0,9805.0,4625.0,0.0,0.0,0.0,1.8932369186312343
10000433,CM1,30040210,50,1617117.77,1460298.84,1460677.2,135620.22,111530.18,133853.24,115241.58,96996.66,109394.86,147513.64,167620.51,118116.91,104816.61,80385.08,81232.04,0.0,0.0,0.0,Amount,50,523789.4,534851.6,478210.4,48341.6,34823.0,44843.4,39986.4,32408.0,37811.2,50581.6,55455.2,41222.4,36916.0,27912.8,27908.8,0.0,0.0,0.0,3.0544655657844326
10000440,CM1,30041258,50,77924700.05,91855501.29,95306625.99,8955191.85,8579712.96,9008353.97,7029506.64,7796612.97,8122776.31,9348945.74,8770005.09,10580472.22,10796101.46,2213028.99,4106820.86,0.0,0.0,0.0,Amount,50,171019678.50100002,194201616.208,194337700.633,16920981.052,17153329.927,21009644.645,16821058.371,18036145.23,17289129.864,18296432.478,14772321.8,17871237.321,18744390.671,7307985.846,10115043.428,0.0,0.0,0.0,0.4904175858804837
10000441,CM1,30041968,50,177462.36,111656.19,81335.77,-173.96,6910.42,604.09,-8525.71,-6057.74,8535.81,6544.71,10424.78,8854.13,7785.25,31634.62,14799.37,0.0,0.0,0.0,Amount,50,839017.1,611245.4,663313.6,52700.0,64990.0,66520.0,75240.0,33120.0,58280.0,29200.0,66260.9,75440.0,32200.0,67920.0,41442.7,0.0,0.0,0.0,0.12262038649591989
10000446,CM1,30054550,50,6230965.75,2976383.91,720925.03,-57113.67,-41739.99,1487.28,8072.73,11388.46,17227.08,17774.95,451152.85,275783.11,20317.85,11422.46,5151.92,0.0,0.0,0.0,Amount,50,37450945.0,24747404.0,17588076.0,9697975.0,2051150.0,57254.0,45341.0,39681.0,64165.0,66755.0,2111150.0,3280315.0,107824.0,38960.0,27506.0,0.0,0.0,0.0,0.040989419763708096
