K,Q_max
10000298,1000000
10000298,1000000
10000298,1000000
10000409,1000000
10000409,1000000
10000411,1000000
10000411,1000000
10000416,1000000
10000425,1000000
10000427,1000000
10000433,1000000
10000440,1000000
10000446,1000000
10000467,1000000
10000467,1000000
10000468,1000000
10000468,1000000
10000474,1000000
10000476,1000000
10000484,1000000
10000511,1000000
10000533,1000000
10000533,1000000
10000553,1000000
10000553,1000000
10000566,1000000
10000574,1000000
10000579,1000000
10000579,1000000
10000585,1000000
10000586,1000000
10000598,1000000
10000598,1000000
10000598,1000000
10000644,1000000
10000647,1000000
10000647,1000000
10000685,1000000
10000691,1000000
10000708,1000000
10000712,1000000
10000712,1000000
10000713,1000000
10000714,1000000
10000715,1000000
10000752,1000000
10000756,1000000
10000756,1000000
10000756,1000000
10000757,1000000
10000757,1000000
10000757,1000000
10000757,1000000
10000757,1000000
10000757,1000000
10000757,1000000
10000758,1000000
10000758,1000000
10000758,1000000
10000758,1000000
10000758,1000000
10000758,1000000
10000758,1000000
10000761,1000000
10000761,1000000
10000761,1000000
10000761,1000000
10000762,1000000
10000762,1000000
10000762,1000000
10000762,1000000
10000768,1000000
10000781,1000000
10000786,1000000
10000786,1000000
10000786,1000000
10000786,1000000
10000811,1000000
10000836,1000000
10000839,1000000
10000839,1000000
10000879,1000000
10000882,1000000
10000902,1000000
10000960,1000000
10000960,1000000
10000987,1000000
10000987,1000000
10000987,1000000
10000987,1000000
10000987,1000000
10000987,1000000
10000987,1000000
10000987,1000000
10001063,1000000
10001066,1000000
10001095,1000000
10001109,1000000
10001109,1000000
10001109,1000000
10001181,1000000
10001247,1000000
10001247,1000000
10001294,1000000
10001294,1000000
10001294,1000000
10001296,1000000
10001296,1000000
10001296,1000000
10001296,1000000
10001308,1000000
10001333,1000000
10001335,1000000
10001339,1000000
10001341,1000000
10001344,1000000
10001364,1000000
10001388,1000000
10001443,1000000
10001463,1000000
10001463,1000000
10001463,1000000
10001463,1000000
10001463,1000000
10001463,1000000
10001467,1000000
10001470,1000000
10001470,1000000
10001470,1000000
10001470,1000000
10001470,1000000
10001470,1000000
10001481,1000000
10001481,1000000
10001520,1000000
10001523,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001569,1000000
10001570,1000000
10001570,1000000
10001570,1000000
10001570,1000000
10001570,1000000
10001570,1000000
10001570,1000000
10001570,1000000
10001570,1000000
10001571,1000000
10001571,1000000
10001571,1000000
10001571,1000000
10001571,1000000
10001571,1000000
10001571,1000000
10001571,1000000
10001575,1000000
10001575,1000000
10001577,1000000
10001577,1000000
10001590,1000000
10001591,1000000
10001591,1000000
10001639,1000000
10001639,1000000
10001639,1000000
10001639,1000000
10001639,1000000
10001639,1000000
10001639,1000000
10001639,1000000
10001643,1000000
10001655,1000000
10001659,1000000
10001703,1000000
10001709,1000000
10001725,1000000
10001730,1000000
10001731,1000000
10001758,1000000
10001800,1000000
10001902,1000000
10001902,1000000
10001902,1000000
10001902,1000000
10001902,1000000
10001908,1000000
10001911,1000000
10001912,1000000
10001916,1000000
10001922,1000000
10001939,1000000
10001953,1000000
10001953,1000000
10001972,1000000
10002089,1000000
10002097,1000000
10002117,1000000
10002122,1000000
10002128,1000000
10002128,1000000
10002131,1000000
10002141,1000000
10002153,1000000
10002153,1000000
10002153,1000000
10002153,1000000
10002160,1000000
10002170,1000000
10002172,1000000
10002173,1000000
10002174,1000000
10002174,1000000
10002177,1000000
10002178,1000000
10002196,1000000
10002196,1000000
10002207,1000000
10002209,1000000
10002211,1000000
10002211,1000000
10002211,1000000
10002211,1000000
10002237,1000000
10002243,1000000
10002244,1000000
10002247,1000000
10002247,1000000
10002256,1000000
10002258,1000000
10002282,1000000
10002302,1000000
10002302,1000000
10002373,1000000
10002373,1000000
10002373,1000000
10002682,1000000
10002714,1000000
10002736,1000000
10002795,1000000
10002815,1000000
10002815,1000000
10002820,1000000
10002864,1000000
10002864,1000000
10002864,1000000
10002864,1000000
10002864,1000000
10002923,1000000
10002938,1000000
10002939,1000000
10002994,1000000
10003100,1000000
10003110,1000000
10003110,1000000
10003110,1000000
10003241,1000000
10003310,1000000
10003310,1000000
10003313,1000000
10003320,1000000
10003330,1000000
10003330,1000000
10003331,1000000
10003331,1000000
10003335,1000000
10003340,1000000
10003344,1000000
10003345,1000000
10003346,1000000
10003346,1000000
10003363,1000000
10003363,1000000
10003553,1000000
10003553,1000000
10003553,1000000
10003553,1000000
10003553,1000000
10003553,1000000
10003635,1000000
10003635,1000000
10003650,1000000
10003670,1000000
10003685,1000000
10003689,1000000
10003712,1000000
10003756,1000000
10003756,1000000
10003796,1000000
10003826,1000000
10003860,1000000
10003860,1000000
10003862,1000000
10003895,1000000
10003896,1000000
10003901,1000000
10003903,1000000
10004034,1000000
10004144,1000000
10004174,1000000
10004174,1000000
10004174,1000000
10004193,1000000
10004320,1000000
10004337,1000000
10004472,1000000
10004512,1000000
10004573,1000000
10004573,1000000
10004573,1000000
10004578,1000000
10004578,1000000
10004606,1000000
10004632,1000000
10004632,1000000
10004632,1000000
10004632,1000000
10004663,1000000
