K,a
10000411,0.0014651459832137337
10000416,0.0034877960544909842
10000425,0.0005865731978754301
10000427,0.0018932369186312344
10000433,0.0030544655657844325
10000440,0.0004904175858804837
10000441,0.00012262038649591986
10000446,4.0989419763708097e-05
10000464,0.0003624946141211711
10000467,0.0025225297353072655
10000468,0.0060694413096701655
10000476,0.0003927354327335047
10000484,0.001061770320651655
10000511,0.0013491237742519252
10000533,0.0002806637749515708
10000554,0.0008361470442827764
10000560,0.00570436115942029
10000561,0.003944917885115018
10000566,0.0008420853446284341
10000574,0.0029807029807853666
10000579,0.0034873002619515386
10000585,0.0014024877884134263
10000586,0.0003900631400901412
10000644,0.002844481322538756
10000647,0.005135102190506023
10000685,0.0008965631335136332
10000691,0.002718359812186277
10000705,0.0037614307591336688
10000708,0.0017723662609770317
10000712,0.0009688759775220788
10000713,0.000453361958055637
10000714,0.0034703273589594716
10000715,0.0006612515183726332
10000752,0.012425675774134793
10000756,0.0014670864613832268
10000757,0.0011912335021571935
10000758,0.0016374972606444248
10000761,-0.0006223096172718351
10000762,0.001993141351618767
10000768,0.0046858197339613265
10000781,0.0013217956690604491
10000786,0.001724188155528396
10000811,0.00084242897585487
10000827,0.0008095245372495573
10000836,0.0019360953644363891
10000839,0.010016718821147269
10000878,0.001525909000356682
10000902,0.000262199598645639
10000956,0.0
10000960,0.001754459638976654
10000996,0.01440138853281595
10001012,0.01527879797979798
10001063,0.032778885714285715
10001066,0.0012808272004710035
10001095,0.0006527486942142434
10001109,0.00043472623994162015
10001245,0.00016221307698873028
10001247,0.0007377881226658249
10001262,0.0014934313332386913
10001275,5.243276063987828e-05
10001276,0.00029528365777802814
10001281,5.510232975561439e-05
10001294,0.0004009315673289183
10001296,0.0016093774314398922
10001308,0.0007927874999999999
10001312,0.00042547211273501
10001339,0.00106321998719356
10001341,0.011779617834394903
10001344,0.0004031469168466258
10001364,0.0018407778110829788
10001380,0.005454737825759793
10001388,0.0007873590383719487
10001435,0.004881641328173226
10001443,0.0015463653782913482
10001449,0.000477698121578026
10001463,0.0031230866411280467
10001470,0.0019776551363217443
10001481,0.00850351307209615
10001520,0.0017151823689099774
10001523,0.0009757344946051004
10001569,0.0007983854249011857
10001570,0.0
10001571,0.0007454950186079841
10001575,0.000902732542953794
10001577,0.0012489508959529748
10001584,0.004998076097143662
10001590,0.006291456188227523
10001591,0.004908186722377584
10001622,0.0
