K,d
10000298,104.52
10000484,11418.329
10000511,71.295
10000579,42.7585
10000644,197.139
10000647,458.294
10000685,886.052
10000756,347.8645
10000757,266.55
10000758,498.3665
10000762,43.4595
10000781,451.975
10000836,193.744
10001066,20.382
10001294,18.19
10001296,125.0545
10001364,235.2815
10001481,846.6299
10001520,322.158
10001569,202.70070000000038
10001571,43.3025
10001575,2040.6375
10001577,581.1718000000001
10001655,11.44
10001659,126.512
10001731,3.25
10001953,485.838
10002128,14394.626
10002131,1959.2945
10002170,1202.618
10002172,3364.997
10002174,34829.4691
10002196,51.482
10002237,89.56
10002939,73.27
10003100,699.124
10003685,268.201
10003689,27575.475300000002
10003756,436.902
10003860,218.7328
10003895,30470.116899999997
10003896,7610.0204
10003901,12738.3097
10003903,6251.229
10004578,209.534
10004663,92.413
10004665,22.445
10004728,188.367
10004729,358.62
10004843,0.0
10005489,111.7605
10005594,88.3932
10006003,959.418
10006071,191.906
10006314,876.976
10007287,44.313
10007979,876.9785
10008995,431.166
10009397,2578.325
10009700,14782.065
10009946,347.49
10010189,13.56
10010278,309.72
10010953,63.602
10010979,366.191
10011211,328.205
10011214,115.611
10011329,211.865
10011844,191.218
10011930,78.602
10011993,93.761
10012063,0.004200000000000001
10012221,603.84
10012385,164.2665
10012422,10.37
10012699,1000.581
10012766,1417.1265
10013228,86.363
10013481,79.2
10014758,278.41
10014827,2111.433
10014969,9.87
10015141,12.882
10015469,1120.4
10015544,1494.784
10015715,134.458
10016154,90.0
10016333,73.921
10016528,2432.882
10016618,31.162
10016630,643.5315
10016649,3066.9735
10016667,7216.005
10016723,4.95
10016786,311.402
10016965,107.1695
10017275,173.8
10017329,0.093
10017366,3.063
10017415,418.50680000000006
10017458,1574.754
10017619,58.61
10017720,0.0
10017769,276.2875
10017770,49.947
10017850,17.371
10017859,4.0
10017904,1590.4595
10017924,346.0695
10017925,299.3985
10017927,425.3935
10017937,308.984
10017954,598.752
10017955,716.8595
10017956,9.3695
10018113,0.004
10018629,318.604
10018641,0.182
10018770,295.717
10018799,55.8
10018823,23.2335
10018920,345.882
10019023,0.0
10019086,105.9291
10019261,0.0
10019320,102.2045
10019410,339.8545
10019448,69.655
10019451,67.857
10019490,1397.139
10019540,1644.6601
10019699,332.1205
10020100,22.1045
10020108,83.9075
10020342,8.55
10020539,0.2525
10020557,21.322
10020648,29.256
10020780,1.9001
