K,P,e
10000298,111190-01_10000298_0101,1
10000298,111190-01_10000298_0105,1
10000298,111190-01_10000298_0109,1
10000409,111610-02_10544222_0200,1
10000409,111610-02_11029600_0100,1
10000411,111260-01_10000411_0600,1
10000411,111260-11_10000411_0500,1
10000416,111240-21_10000416_0300,1
10000425,111260-10_10000425_0500,1
10000427,111240-21_10000427_0300,1
10000433,111240-21_10000433_0300,1
10000440,111460-01_10000440_0101,1
10000446,111810-01_10000446_0100,1
10000467,124600-06_10000467_0700,1
10000467,124600-06_10000467_0100,1
10000468,110320-04_10000468_0100,1
10000468,110320-04_10000468_0200,1
10000474,124240-01_10000474_1000,1
10000476,124240-01_10000476_1000,1
10000484,111180-08_10000484_0300,1
10000511,123520-07_10000511_0101,1
10000533,123410-15_10000533_0100,1
10000533,123410-15_10000533_0110,1
10000553,111800-01_10001703_0100,1
10000553,111800-01_10911524_0100,1
10000566,111650-01_10000566_0100,1
10000574,111570-03_10000574_0200,1
10000579,123540-05_10000579_0400,1
10000579,123540-08_10000579_0600,1
10000585,111040-06_10000585_0700,1
10000586,111360-03_10000586_1000,1
10000598,135150-10_10000598_0900,1
10000598,135150-15_10000598_0600,1
10000598,135150-17_10000598_0800,1
10000644,110980-02_10000644_0701,1
10000647,110980-02_10000647_0700,1
10000647,110980-02_10000647_0702,1
10000685,123510-02_10000685_1000,1
10000691,124600-06_10000691_0600,1
10000708,123540-06_10000708_0200,1
10000712,111040-04_10000712_0200,1
10000712,111040-01_10000712_0500,1
10000713,151210-95_10000713_0200,1
10000714,123540-08_10000714_0200,1
10000715,124600-07_10000715_0700,1
10000752,151310-01_10000752_0400,1
10000756,123530-05_10000756_0800,1
10000756,123530-05_10000756_0801,1
10000756,123530-05_10000756_0802,1
10000757,110980-01_10000757_0700,1
10000757,110980-01_10000757_0703,1
10000757,110980-01_10000757_0707,1
10000757,110980-01_10000757_0708,1
10000757,110980-02_10000757_0200,1
10000757,110980-02_10000757_0201,1
10000757,110980-02_10000757_0202,1
10000758,110980-02_10000758_0202,1
10000758,110980-02_10000758_0201,1
10000758,110980-02_10000758_0200,1
10000758,110980-01_10000758_0701,1
10000758,110980-01_10000758_0703,1
10000758,110980-01_10000758_0705,1
10000758,110980-01_10000758_0700,1
10000761,110980-01_10000761_0700,1
10000761,110980-01_10000761_0701,1
10000761,110980-01_10000761_0703,1
10000761,110980-01_10000761_0704,1
10000762,110980-01_10000762_0700,1
10000762,110980-01_10000762_0701,1
10000762,110980-01_10000762_0702,1
10000762,110980-01_10000762_0704,1
10000768,123510-05_10000768_1000,1
10000781,123510-02_10000781_1000,1
10000786,124930-70_10000786_7000,1
10000786,124930-17_10000786_1710,1
10000786,124930-17_10000786_1701,1
10000786,124930-17_10000786_1700,1
10000811,124930-05_10000811_0500,1
10000836,111180-09_10000836_0300,1
10000839,123530-01_10000839_0500,1
10000839,123530-01_10000839_0501,1
10000879,135120-15_10000879_0200,1
10000882,135120-07_10000882_0200,1
10000902,151550-05_10000902_0300,1
10000960,123540-08_10000960_0200,1
10000960,123540-10_10000960_0100,1
10000987,111190-01_10000987_0102,1
10000987,111190-03_10000987_0300,1
10000987,111190-01_10000987_0101,1
10000987,111190-01_10000987_0100,1
10000987,110980-01_10000987_0701,1
10000987,110980-01_10000987_0702,1
10000987,110980-01_10000987_0700,1
10000987,110980-01_10000987_0706,1
10001063,123470-20_10001063_0300,1
10001066,123530-05_10001066_0800,1
10001095,111130-10_10001095_0100,1
10001109,111260-02_10001109_0500,1
10001109,111260-02_10001109_0520,1
10001109,111260-03_10001109_0510,1
10001181,140500-01_10001181_0500,1
10001247,123080-06_10001247_1000,1
10001247,123080-12_10001247_0700,1
10001294,123530-05_10001294_0800,1
10001294,123530-05_10001294_0801,1
10001294,123530-05_10001294_0802,1
10001296,110980-01_10001296_0700,1
10001296,110980-01_10001296_0701,1
10001296,110980-01_10001296_0703,1
10001296,110980-01_10001296_0705,1
10001308,123530-05_10001308_0800,1
10001333,100610-10_10001333_0110,1
10001335,100610-70_10001335_0210,1
10001339,111420-11_10001339_0100,1
10001341,111600-06_10001341_0500,1
10001344,111420-12_10001344_0100,1
10001364,111190-02_10001364_0100,1
10001388,123090-12_10001388_0800,1
10001443,111220-05_10001443_0500,1
10001463,124930-13_10001463_130A,1
10001463,124930-13_10001463_130B,1
10001463,124930-13_10001463_130C,1
10001463,124930-13_10001463_131A,1
10001463,124930-13_10001463_131B,1
10001463,124930-13_10001463_131C,1
10001467,124930-17_10001467_1700,1
10001470,124930-17_10001470_171C,1
10001470,124930-17_10001470_171B,1
10001470,124930-17_10001470_171A,1
10001470,124930-17_10001470_170C,1
10001470,124930-17_10001470_170B,1
10001470,124930-17_10001470_170A,1
10001481,123550-03_10001481_1000,1
10001481,123550-03_10001481_1100,1
10001520,110980-01_10001520_0700,1
10001523,111220-05_10001523_0500,1
10001569,110980-02_10001569_0900,1
10001569,110980-02_10001569_0201,1
10001569,110980-01_10001569_0804,1
10001569,110980-01_10001569_0803,1
10001569,110980-01_10001569_0802,1
10001569,110980-02_10001569_0200,1
10001569,110980-01_10001569_0800,1
10001569,110980-01_10001569_0706,1
10001569,110980-01_10001569_0703,1
10001569,110980-01_10001569_0801,1
10001569,110980-01_10001569_0702,1
10001569,110980-01_10001569_0701,1
10001570,111190-01_10001570_0100,1
10001570,110980-02_10001570_0202,1
10001570,110980-02_10001570_0201,1
10001570,110980-02_10001570_0200,1
10001570,110980-01_10001570_0703,1
10001570,110980-01_10001570_0702,1
10001570,110980-01_10001570_0701,1
10001570,110980-01_10001570_0700,1
10001570,110980-01_10001570_0704,1
10001571,110980-02_10001571_0200,1
10001571,110980-02_10001571_0201,1
10001571,110980-02_10001571_0202,1
10001571,110980-01_10001571_0706,1
10001571,110980-01_10001571_0701,1
10001571,110980-01_10001571_0702,1
10001571,110980-01_10001571_0700,1
10001571,110980-01_10001571_0704,1
10001575,111190-02_10001575_0100,1
10001575,111190-02_10001575_0300,1
10001577,111190-02_10001577_0100,1
