K,P,h
10000127,123530-01_10780647_0900,1
10000127,123530-02_10780647_0800,1
10000127,123680-01_10584918_0100,1
10000127,123680-03_10089951_0300,1
10000127,123680-03_10089951_0400,1
10000127,123680-03_10584918_0100,1
10000127,124270-01_10591568_0100,1
10000331,134130-05_10005274_1400,1
10000411,111120-07_10975022_0300,1
10000411,111120-07_10606472_0300,1
10000411,111120-07_10785583_0300,1
10000440,111260-02_10206673_0600,1
10000440,111260-02_10210827_0600,1
10000440,111260-02_10210827_0500,1
10000440,111260-02_10207964_0520,1
10000440,111260-02_10207964_0510,1
10000440,111260-02_10206673_0500,1
10000440,111260-02_10064207_0500,1
10000440,111260-02_10087992_0510,1
10000440,111260-02_10087187_0510,1
10000440,111260-02_10073709_0510,1
10000440,111260-02_10244043_0500,1
10000440,111260-02_10061083_0710,1
10000440,111260-02_10087992_0530,1
10000440,111260-02_10508450_0500,1
10000440,111260-02_10567149_0600,1
10000440,111260-02_10520104_0600,1
10000440,111260-02_10520104_0700,1
10000440,111260-02_10567149_0500,1
10000440,111260-02_10061083_0709,1
10000440,111260-02_10606772_0600,1
10000440,111260-02_10709136_0300,1
10000440,111260-02_10709136_0600,1
10000440,111260-02_10709148_0300,1
10000440,111260-02_10748892_0500,1
10000440,111260-02_10748892_0600,1
10000440,111260-02_10813204_0100,1
10000440,111260-02_10933957_0500,1
10000440,111260-02_10933957_0600,1
10000440,111260-02_10508450_0600,1
10000440,111260-02_10009397_0530,1
10000440,111260-01_11036590_0100,1
10000440,111260-02_10009397_0510,1
10000440,111260-01_10520104_0500,1
10000440,111260-01_10579452_0300,1
10000440,111260-01_10579452_0400,1
10000440,111260-01_10588639_0500,1
10000440,111260-01_10588840_0300,1
10000440,111260-01_10603731_0500,1
10000440,111260-01_10709148_0100,1
10000440,111260-01_10748892_0400,1
10000440,111260-01_10781543_0100,1
10000440,111260-01_10831370_0200,1
10000440,111260-01_10839311_0100,1
10000440,111260-01_10870400_0500,1
10000440,111260-01_10913865_0100,1
10000440,111260-01_10913865_0400,1
10000440,111260-01_10933957_0300,1
10000440,111260-01_10955317_0100,1
10000440,111260-01_10963780_0100,1
10000440,111260-01_10970945_0400,1
10000440,111260-01_10970945_0500,1
10000440,111260-01_10975650_0100,1
10000440,111260-01_10997788_0300,1
10000440,111260-01_10934610_0500,1
10000440,111260-01_10879645_0400,1
10000440,111260-01_10980711_0100,1
10000440,111260-01_10999735_0100,1
10000440,111260-02_10955317_0600,1
10000440,111260-02_10001109_0500,1
10000440,111260-02_10001109_0520,1
10000440,111260-02_10001953_0500,1
10000440,111260-02_10009397_0520,1
10000440,111260-02_10234339_0700,1
10000440,111260-03_10073709_0500,1
10000440,111260-02_10588639_0800,1
10000440,111260-11_10088092_0510,1
10000440,111260-11_10095240_0500,1
10000440,111260-11_10095240_0600,1
10000440,111260-11_10200990_0600,1
10000440,111260-11_10205163_0500,1
10000440,111260-11_10205163_0510,1
10000440,111260-11_10205211_0500,1
10000440,111260-11_10205211_0600,1
10000440,111260-11_10207201_0500,1
10000440,111260-11_10207201_0600,1
10000440,111260-11_10208359_0500,1
10000440,111260-11_10208359_0510,1
10000440,111260-11_10209908_0500,1
10000440,111260-11_10209908_0510,1
10000440,111260-11_10211142_0500,1
10000440,111260-11_10211142_0510,1
10000440,111260-11_10233814_0500,1
10000440,111260-11_10233814_0510,1
10000440,111260-11_10606773_0300,1
10000440,111260-11_10606773_0400,1
10000440,111260-11_10831370_0300,1
10000440,111260-11_10955317_0400,1
10000440,111260-11_10970945_0600,1
10000440,111260-11_10970945_0700,1
10000440,111260-11_10975650_0400,1
