K,P,j
10000298,111190-01_10000298_0101,1
10000298,111190-01_10000298_0105,1
10000298,111190-01_10000298_0109,1
10000511,123520-07_10000511_0101,1
10000685,123510-02_10000685_1000,1
10000762,110980-01_10000762_0702,1
10000762,110980-01_10000762_0704,1
10000762,110980-01_10000762_0700,1
10000762,110980-01_10000762_0701,1
10000781,123510-02_10000781_1000,1
10001296,110980-01_10001296_0700,1
10001296,110980-01_10001296_0701,1
10001296,110980-01_10001296_0703,1
10001296,110980-01_10001296_0705,1
10001575,111190-02_10001575_0300,1
10001575,111190-02_10001575_0100,1
10001655,123530-04_10001655_0800,1
10001953,111260-03_10001953_0510,1
10001953,111260-02_10001953_0500,1
10002196,123540-10_10002196_0500,1
10002196,123540-12_10002196_0600,1
10002939,110320-04_10002939_0100,1
10003685,111130-04_10003685_0100,1
10003756,123590-06_10003756_0300,1
10003756,123590-06_10003756_0301,1
10003860,124600-10_10003860_0700,1
10003860,124600-10_10003860_0800,1
10003896,151210-76_10003896_0200,1
10004578,110980-02_10004578_0700,1
10004578,110980-02_10004578_0701,1
10004663,123510-05_10004663_1000,1
10004729,110980-01_10004729_0100,1
10004729,110980-02_10004729_0200,1
10005594,123420-17_10005594_0100,1
10006071,110980-01_10006071_0704,1
10006071,110980-01_10006071_0703,1
10006314,110980-02_10006314_0701,1
10006314,110980-02_10006314_0700,1
10009397,111260-02_10009397_0510,1
10009397,111260-02_10009397_0520,1
10009397,111260-02_10009397_0530,1
10009397,111260-11_10009397_0500,1
10009946,123410-15_10009946_0200,1
10010953,110980-01_10010953_0700,1
10010953,110980-01_10010953_0702,1
10010953,110980-01_10010953_0704,1
10010953,110980-01_10010953_0705,1
10010953,111190-01_10010953_0100,1
10010953,111190-01_10010953_0101,1
10010953,111190-01_10010953_0102,1
10010953,111190-03_10010953_0300,1
10010953,111190-03_10010953_0301,1
10010979,110980-01_10010979_0703,1
10010979,110980-01_10010979_0705,1
10010979,110980-01_10010979_0700,1
10010979,110980-01_10010979_0701,1
10011211,124930-30_10011211_3000,1
10011329,123510-02_10011329_1000,1
10011844,111190-01_10011844_0103,1
10011844,111190-01_10011844_0101,1
10011844,111190-01_10011844_0109,1
10011844,110980-01_10011844_0702,1
10011844,110980-01_10011844_0700,1
10011844,110980-01_10011844_0703,1
10011993,123550-11_10011993_1000,1
10012385,123520-07_10012385_0201,1
10012385,123520-07_10012385_0202,1
10012422,123550-03_10012422_1000,1
10012422,123550-03_10012422_1100,1
10012766,123520-17_10012766_0100,1
10013228,123590-06_10013228_0300,1
10014758,124930-30_10014758_3000,1
10014827,111230-06_10014827_0200,1
10014827,111230-06_10014827_0100,1
10015141,110980-01_10015141_0700,1
10015141,110980-01_10015141_0702,1
10015141,110980-01_10015141_0705,1
10015141,110980-01_10015141_0706,1
10015141,110980-02_10015141_0200,1
10015469,111190-03_10015469_0300,1
10015469,111190-01_10015469_0103,1
10015469,111190-01_10015469_0102,1
10015469,111190-01_10015469_0101,1
10015469,110980-03_10015469_0800,1
10015469,110980-01_10015469_0704,1
10015469,110980-01_10015469_0705,1
10015469,110980-01_10015469_0703,1
10015469,110980-01_10015469_0702,1
10015469,110980-01_10015469_0701,1
10015469,110980-01_10015469_0800,1
10015715,110980-01_10015715_0604,1
10015715,110980-01_10015715_0603,1
10015715,110980-01_10015715_0600,1
10015715,110980-01_10015715_0601,1
10015715,110980-01_10015715_0602,1
10016154,123510-05_10016154_1000,1
10016333,123680-23_10016333_0200,1
10016528,111260-11_10016528_0500,1
10016528,111260-11_10016528_0600,1
10016618,123020-03_10016618_0700,1
10016630,111190-01_10016630_0105,1
10016630,110980-01_10016630_0700,1
10016630,110980-01_10016630_0702,1
10016630,110980-01_10016630_0703,1
10016630,110980-01_10016630_0704,1
10016630,111190-01_10016630_0101,1
10016630,111190-01_10016630_0103,1
10016723,111190-01_10016723_0110,1
10016723,111190-01_10016723_0106,1
10016723,111190-01_10016723_0104,1
10016723,111190-01_10016723_0101,1
10016965,111190-01_10016965_0103,1
10016965,111190-01_10016965_0101,1
10016965,110980-02_10016965_0801,1
10016965,110980-02_10016965_0800,1
10016965,110980-02_10016965_0201,1
10016965,110980-02_10016965_0200,1
10016965,110980-01_10016965_0903,1
10016965,110980-01_10016965_0902,1
10016965,110980-01_10016965_0901,1
10016965,110980-01_10016965_0900,1
10016965,110980-01_10016965_0706,1
10016965,110980-01_10016965_0703,1
10016965,110980-01_10016965_0702,1
10016965,110980-01_10016965_0700,1
10016965,111190-01_10016965_0105,1
10017275,123410-15_10017275_0200,1
10017415,124870-01_10017415_0600,1
10017619,111580-07_10017619_0200,1
10017850,110980-01_10017850_0700,1
10017850,110980-01_10017850_0702,1
10017850,110980-01_10017850_0704,1
10017850,110980-01_10017850_0705,1
10017925,111190-01_10017925_0101,1
10017925,111190-01_10017925_0103,1
10017925,111190-01_10017925_0104,1
10017925,111190-03_10017925_0201,1
10017925,111190-03_10017925_0202,1
10017937,111240-12_10017937_0100,1
10017954,111190-01_10017954_0101,1
10017954,111190-01_10017954_0105,1
10017954,111190-01_10017954_0111,1
10017954,111190-03_10017954_0201,1
10017954,111190-03_10017954_0203,1
10017955,111190-03_10017955_0202,1
10017955,111190-03_10017955_0201,1
10017955,111190-01_10017955_0109,1
10017955,111190-01_10017955_0104,1
10017955,111190-01_10017955_0101,1
10018770,123550-09_10018770_1100,1
10018770,123550-10_10018770_1000,1
10018799,123510-02_10018799_1000,1
10019086,123590-05_10019086_0400,1
10019320,110980-01_10019320_0700,1
10019320,110980-03_10019320_0100,1
10019410,123540-08_10019410_0500,1
10019448,123510-02_10019448_1000,1
10019451,110980-01_10019451_0100,1
10019451,110980-01_10019451_0101,1
10019451,110980-01_10019451_0102,1
10019451,110980-01_10019451_0103,1
10019451,110980-01_10019451_0104,1
10019451,110980-01_10019451_0700,1
10019490,111190-03_10019490_0301,1
10019490,111190-03_10019490_0300,1
10019490,111190-01_10019490_0105,1
10019490,111190-01_10019490_0100,1
10019490,111190-01_10019490_0108,1
