K,m,v,q
10000298,111190-01,1,1
10000298,111190-01,2,1
10000298,111190-01,3,1
10000409,111610-02,4,1
10000409,111610-02,5,1
10000411,111260-01,6,1
10000411,111260-11,7,1
10000416,111240-21,8,1
10000425,111260-10,9,1
10000427,111240-21,10,1
10000433,111240-21,11,1
10000440,111460-01,12,1
10000446,111810-01,13,1
10000467,124600-06,14,1
10000467,124600-06,15,1
10000468,110320-04,16,1
10000468,110320-04,17,1
10000474,124240-01,18,1
10000476,124240-01,19,1
10000484,111180-08,20,1
10000511,123520-07,21,1
10000533,123410-15,22,1
10000533,123410-15,23,1
10000553,111800-01,24,1
10000553,111800-01,25,1
10000566,111650-01,26,1
10000574,111570-03,27,1
10000579,123540-05,28,1
10000579,123540-08,29,1
10000585,111040-06,30,1
10000586,111360-03,31,1
10000598,135150-10,32,1
10000598,135150-15,33,1
10000598,135150-17,34,1
10000644,110980-02,35,1
10000647,110980-02,36,1
10000647,110980-02,37,1
10000685,123510-02,38,1
10000691,124600-06,39,1
10000708,123540-06,40,1
10000712,111040-04,41,1
10000712,111040-01,42,1
10000713,151210-95,43,1
10000714,123540-08,44,1
10000715,124600-07,45,1
10000752,151310-01,46,1
10000756,123530-05,47,1
10000756,123530-05,48,1
10000756,123530-05,49,1
10000757,110980-01,50,1
10000757,110980-01,51,1
10000757,110980-01,52,1
10000757,110980-01,53,1
10000757,110980-02,54,1
10000757,110980-02,55,1
10000757,110980-02,56,1
10000758,110980-01,57,1
10000758,110980-01,58,1
10000758,110980-01,59,1
10000758,110980-01,60,1
10000758,110980-02,61,1
10000758,110980-02,62,1
10000758,110980-02,63,1
10000761,110980-01,64,1
10000761,110980-01,65,1
10000761,110980-01,66,1
10000761,110980-01,67,1
10000762,110980-01,68,1
10000762,110980-01,69,1
10000762,110980-01,70,1
10000762,110980-01,71,1
10000768,123510-05,72,1
10000781,123510-02,73,1
10000786,124930-17,74,1
10000786,124930-17,75,1
10000786,124930-17,76,1
10000786,124930-70,77,1
10000811,124930-05,78,1
10000836,111180-09,79,1
10000839,123530-01,80,1
10000839,123530-01,81,1
10000879,135120-15,82,1
10000882,135120-07,83,1
10000902,151550-05,84,1
10000960,123540-08,85,1
10000960,123540-10,86,1
10000987,110980-01,87,1
10000987,110980-01,88,1
10000987,110980-01,89,1
10000987,110980-01,90,1
10000987,111190-01,91,1
10000987,111190-01,92,1
10000987,111190-01,93,1
10000987,111190-03,94,1
10001063,123470-20,95,1
10001066,123530-05,96,1
10001095,111130-10,97,1
10001109,111260-02,98,1
10001109,111260-02,99,1
10001109,111260-03,100,1
10001181,140500-01,101,1
10001247,123080-12,102,1
10001247,123080-06,103,1
10001294,123530-05,104,1
10001294,123530-05,105,1
10001294,123530-05,106,1
10001296,110980-01,107,1
10001296,110980-01,108,1
10001296,110980-01,109,1
10001296,110980-01,110,1
10001308,123530-05,111,1
10001333,100610-10,112,1
10001335,100610-70,113,1
10001339,111420-11,114,1
10001341,111600-06,115,1
10001344,111420-12,116,1
10001364,111190-02,117,1
10001388,123090-12,118,1
10001443,111220-05,119,1
10001463,124930-13,120,1
10001463,124930-13,121,1
10001463,124930-13,122,1
10001463,124930-13,123,1
10001463,124930-13,124,1
10001463,124930-13,125,1
10001467,124930-17,126,1
10001470,124930-17,127,1
10001470,124930-17,128,1
10001470,124930-17,129,1
10001470,124930-17,130,1
10001470,124930-17,131,1
10001470,124930-17,132,1
10001481,123550-03,133,1
10001481,123550-03,134,1
10001520,110980-01,135,1
10001523,111220-05,136,1
10001569,110980-01,137,1
10001569,110980-01,138,1
10001569,110980-01,139,1
10001569,110980-01,140,1
10001569,110980-01,141,1
10001569,110980-01,142,1
10001569,110980-01,143,1
10001569,110980-01,144,1
10001569,110980-01,145,1
10001569,110980-02,146,1
10001569,110980-02,147,1
10001569,110980-02,148,1
10001570,110980-01,149,1
10001570,110980-01,150,1
10001570,110980-01,151,1
10001570,110980-01,152,1
10001570,110980-01,153,1
10001570,110980-02,154,1
10001570,110980-02,155,1
10001570,110980-02,156,1
10001570,111190-01,157,1
10001571,110980-01,158,1
10001571,110980-01,159,1
10001571,110980-01,160,1
10001571,110980-01,161,1
10001571,110980-01,162,1
10001571,110980-02,163,1
10001571,110980-02,164,1
10001571,110980-02,165,1
10001575,111190-02,166,1
10001575,111190-02,167,1
10001577,111190-02,168,1
10001577,111190-02,169,1
10001590,111040-01,170,1
10001591,111600-02,171,1
10001591,111600-02,172,1
10001639,100610-10,173,1
10001639,100610-10,174,1
10001639,100610-10,175,1
10001639,100610-10,176,1
10001639,100610-50,177,1
10001639,100610-50,178,1
10001639,100610-50,179,1
10001639,100610-50,180,1
10001643,112020-03,181,1
10001655,123530-04,182,1
10001659,123530-04,183,1
10001703,111800-01,184,1
10001709,123410-25,185,1
10001725,111220-05,186,1
10001730,111190-02,187,1
10001731,111190-02,188,1
10001758,123540-04,189,1
10001800,112020-02,190,1
10001902,111190-01,191,1
10001902,111190-01,192,1
10001902,111190-01,193,1
10001902,111190-03,194,1
10001902,111190-03,195,1
10001908,111600-01,196,1
10001911,111600-01,197,1
10001912,111600-01,198,1
10001916,100620-01,199,1
10001922,123080-01,200,1
10001939,111240-10,201,1
10001953,111260-02,202,1
10001953,111260-03,203,1
10001972,151540-02,204,1
10002089,111700-09,205,1
10002097,124500-03,206,1
10002117,151550-02,207,1
10002122,135150-16,208,1
10002128,123560-01,209,1
10002128,123560-01,210,1
10002131,123540-08,211,1
10002141,124600-12,212,1
10002153,111040-04,213,1
10002153,111040-04,214,1
10002153,111040-01,215,1
10002153,111040-01,216,1
10002160,151550-03,217,1
10002170,123540-08,218,1
10002172,123540-08,219,1
10002173,151140-01,220,1
10002174,123560-01,221,1
10002174,123560-01,222,1
10002177,111040-05,223,1
10002178,123540-06,224,1
10002196,123540-10,225,1
10002196,123540-12,226,1
10002207,111650-03,227,1
10002209,151210-51,228,1
10002211,111040-04,229,1
10002211,111040-04,230,1
10002211,111040-01,231,1
10002211,111040-01,232,1
10002237,123560-01,233,1
10002243,123540-03,234,1
10002244,124260-14,235,1
10002247,151540-01,236,1
10002247,151540-02,237,1
10002256,124260-01,238,1
10002258,111040-05,239,1
10002282,111560-05,240,1
10002302,151140-01,241,1
10002302,151140-01,242,1
10002373,124860-02,243,1
10002373,124860-02,244,1
10002373,124860-02,245,1
10002682,111640-07,246,1
10002714,100680-10,247,1
10002736,123540-14,248,1
10002795,111130-10,249,1
10002815,124930-17,250,1
10002815,124930-17,251,1
10002820,111140-01,252,1
10002864,123080-12,253,1
10002864,123080-12,254,1
10002864,123080-15,255,1
10002864,123080-06,256,1
10002864,123080-06,257,1
10002923,123180-04,258,1
10002938,151330-06,259,1
10002939,110320-04,260,1
10002994,124870-05,261,1
10003100,111500-01,262,1
10003110,111190-01,263,1
10003110,111190-01,264,1
10003110,111190-01,265,1
10003241,135130-01,266,1
10003310,123530-01,267,1
10003310,123530-04,268,1
10003313,124260-01,269,1
10003320,111470-02,270,1
10003330,151040-04,271,1
10003330,151040-11,272,1
10003331,151550-04,273,1
10003331,151550-06,274,1
10003335,123530-04,275,1
10003340,111040-05,276,1
10003344,100610-10,277,1
10003345,100470-08,278,1
10003346,100610-70,279,1
10003346,100610-70,280,1
10003363,135100-04,281,1
10003363,135100-21,282,1
10003553,124930-17,283,1
10003553,124930-17,284,1
10003553,124930-17,285,1
10003553,124930-17,286,1
10003553,124930-17,287,1
10003553,124930-17,288,1
10003635,124930-05,289,1
10003635,124930-05,290,1
10003650,111690-01,291,1
10003670,111700-03,292,1
10003685,111130-04,293,1
10003689,111160-01,294,1
10003712,124260-04,295,1
10003756,123590-06,296,1
10003756,123590-06,297,1
10003796,124600-04,298,1
10003826,135130-25,299,1
10003860,124600-10,300,1
10003860,124600-10,301,1
10003862,124600-10,302,1
10003895,111150-01,303,1
10003896,151210-76,304,1
10003901,111150-01,305,1
10003903,111150-01,306,1
10004034,125040-05,307,1
10004144,111130-02,308,1
10004174,111190-01,309,1
10004174,111190-01,310,1
10004174,111190-01,311,1
10004193,135090-11,312,1
10004320,100470-08,313,1
10004337,111130-02,314,1
10004472,162150-01,315,1
10004512,151450-11,316,1
10004573,111350-16,317,1
10004573,111350-17,318,1
10004573,111400-03,319,1
10004578,110980-02,320,1
10004578,110980-02,321,1
10004606,100610-70,322,1
10004632,140040-14,323,1
10004632,140040-15,324,1
10004632,140040-16,325,1
10004632,140040-22,326,1
10004663,123510-05,327,1
10004665,110980-01,328,1
10004665,110980-01,329,1
10004665,110980-01,330,1
10004665,110980-01,331,1
10004665,111190-01,332,1
10004665,111190-01,333,1
10004665,111190-01,334,1
10004665,111190-03,335,1
10004665,111190-03,336,1
10004728,111190-02,337,1
10004729,110980-01,338,1
10004729,110980-02,339,1
10004776,111580-04,340,1
