K,P,r
10000127,123530-01_10780647_0900,-9.93
10000127,123530-02_10780647_0800,-9.93
10000127,123680-01_10584918_0100,-63.2
10000127,123680-03_10089951_0300,-84.2
10000127,123680-03_10089951_0400,-83.103
10000127,123680-03_10584918_0100,-62.253
10000127,124270-01_10591568_0100,-23.7
10000298,111190-01_10000298_0101,100.0
10000298,111190-01_10000298_0105,100.0
10000298,111190-01_10000298_0109,100.0
10000331,134130-05_10005274_1400,-33.333
10000409,111610-02_10544222_0200,9.0
10000409,111610-02_11029600_0100,10.0
10000411,111120-07_10606472_0300,-90.54
10000411,111120-07_10785583_0300,-6.24
10000411,111120-07_10975022_0300,-6.53
10000411,111260-01_10000411_0600,100.0
10000411,111260-11_10000411_0500,100.0
10000416,111240-21_10000416_0300,100.0
10000425,111260-10_10000425_0500,100.0
10000427,111240-21_10000427_0300,100.0
10000433,111240-21_10000433_0300,100.0
10000440,111230-06_10007932_0100,-11.23
10000440,111230-06_10007932_0200,-11.23
10000440,111230-06_10008111_0100,-30.247
10000440,111230-06_10008111_0200,-30.247
10000440,111230-06_10064402_0100,-38.858000000000004
10000440,111230-06_10064402_0200,-38.858000000000004
10000440,111230-06_10067660_0100,-22.68
10000440,111230-06_10067660_0200,-22.68
10000440,111230-06_10070668_0100,-31.413
10000440,111230-06_10070668_0200,-31.413
10000440,111230-06_10087187_0200,-39.971
10000440,111230-06_10201798_0100,-25.353
10000440,111230-06_10201798_0200,-25.353
10000440,111230-06_10202135_0100,-49.813
10000440,111230-06_10202135_0200,-49.813
10000440,111230-06_10204538_0100,-22.011999999999997
10000440,111230-06_10204538_0200,-22.011999999999997
10000440,111230-06_10207201_0100,-23.366999999999997
10000440,111230-06_10207201_0200,-23.366999999999997
10000440,111230-06_10210990_0100,-18.115
10000440,111230-06_10210990_0200,-18.115
10000440,111230-06_10211150_0100,-13.334000000000001
10000440,111230-06_10211150_0200,-13.334000000000001
10000440,111230-06_10211274_0100,-19.989
10000440,111230-06_10211274_0200,-19.989
10000440,111230-06_10211276_0100,-8.443999999999999
10000440,111230-06_10211276_0200,-8.443999999999999
10000440,111230-06_10234339_0600,-15.787
10000440,111230-06_10290113_0100,-17.79
10000440,111230-06_10290113_0200,-17.79
10000440,111230-06_10520925_0100,-10.466
10000440,111230-06_10520925_0200,-10.466
10000440,111230-06_10537771_0100,-18.813
10000440,111230-06_10537771_0200,-18.813
10000440,111230-06_10566888_0100,-21.156
10000440,111230-06_10566888_0300,-21.156
10000440,111230-06_10581250_0100,-19.861
10000440,111230-06_10581250_0200,-19.861
10000440,111230-06_10596825_0300,-21.149
10000440,111230-06_10596825_0400,-21.149
10000440,111230-06_10603449_0100,-32.135
10000440,111230-06_10603449_0300,-32.135
10000440,111230-06_10603731_0300,-23.397
10000440,111230-06_10603731_0400,-23.397
10000440,111230-06_10606773_0500,-22.180999999999997
10000440,111230-06_10606773_0600,-22.180999999999997
10000440,111230-06_10703850_0300,-8.378
10000440,111230-06_10703850_0400,-8.378
10000440,111230-06_10713748_0100,-24.72
10000440,111230-06_10713748_0200,-24.72
10000440,111230-06_10748624_0200,-27.101
10000440,111230-06_10748624_0300,-27.101
10000440,111230-06_10861977_1111,-8.66
10000440,111230-06_10873936_0400,-22.459
10000440,111230-06_10879645_0200,-20.037
10000440,111230-06_10879645_0300,-20.037
10000440,111230-06_10880595_1111,-18.156
10000440,111230-06_10882870_0100,-26.636
10000440,111230-06_10882870_0300,-26.636
10000440,111230-06_10913865_0200,-2.119
10000440,111230-06_10913865_0300,-2.119
10000440,111230-06_10923977_0100,-8.777999999999999
10000440,111230-06_10925745_1111,-22.129
10000440,111230-06_10933957_0100,-46.268
10000440,111230-06_10933957_0200,-46.268
10000440,111230-06_10934610_0200,-21.334
10000440,111230-06_10934610_0300,-21.334
10000440,111230-06_10957089_0300,-49.826
10000440,111230-06_10965899_0300,-15.939
10000440,111230-06_10970539_0200,-25.178
10000440,111230-06_10975622_1111,-34.374
10000440,111230-06_10975650_0200,-10.45
10000440,111230-06_10975650_0300,-10.45
10000440,111230-06_10977545_1111,-17.238
10000440,111230-06_10981341_1111,-17.483
10000440,111230-06_10990525_1111,-40.79
10000440,111230-06_10991906_1111,-56.528
10000440,111230-06_10991907_1111,-51.478
10000440,111230-06_10992173_0100,-17.891
10000440,111230-06_10992173_0200,-17.891
10000440,111230-06_10994393_0100,-10.237
10000440,111230-06_10994393_0200,-10.237
10000440,111230-06_10999733_0200,-1.065
10000440,111230-06_10999733_0300,-1.065
10000440,111230-06_10999735_1111,-19.297
10000440,111230-06_11001698_1111,-38.467
10000440,111230-06_11001837_1111,-12.322000000000001
10000440,111230-06_11010065_0200,-29.389
10000440,111230-06_11010065_0300,-29.389
10000440,111230-06_11010808_1111,-41.301
10000440,111230-06_11017634_1111,-16.442
10000440,111230-06_11017665_1111,-22.666
10000440,111230-06_10999744_1111,-13.427999999999999
10000440,111230-06_10880595_0300,-18.141
