K,s
10000298,1
10000511,1
10000685,1
10000762,1
10000781,1
10001296,1
10001575,1
10001655,1
10001953,1
10002196,1
10002939,1
10003685,1
10003756,1
10003860,1
10003896,1
10004578,1
10004663,1
10004729,1
10005594,1
10006071,1
10006314,1
10009397,1
10009946,1
10010953,1
10010979,1
10011211,1
10011329,1
10011844,1
10011993,1
10012385,1
10012422,1
10012766,1
10013228,1
10014758,1
10014827,1
10015141,1
10015469,1
10015715,1
10016154,1
10016333,1
10016528,1
10016618,1
10016630,1
10016723,1
10016965,1
10017275,1
10017415,1
10017619,1
10017850,1
10017925,1
10017937,1
10017954,1
10017955,1
10018770,1
10018799,1
10019086,1
10019320,1
10019410,1
10019448,1
10019451,1
10019490,1
10019540,1
10019699,1
10020100,1
10020108,1
10020342,1
10020539,1
10020648,1
10020780,1
10022275,1
10022460,1
10025298,1
10025497,1
10025800,1
10027135,1
10027238,1
10027438,1
10027465,1
10028021,1
10028178,1
10028211,1
10035085,1
10035275,1
10055820,1
10060177,1
10060496,1
10060693,1
10061329,1
10061431,1
10061584,1
10062585,1
10062735,1
10062806,1
10063593,1
10063659,1
10064088,1
10064285,1
10064402,1
10064482,1
10064551,1
10064667,1
10064778,1
10064793,1
10064839,1
10067290,1
10067363,1
10067988,1
10068024,1
10068315,1
10068498,1
10068659,1
10069231,1
10069741,1
10070011,1
10070577,1
10070668,1
10070749,1
10071235,1
10071545,1
10071740,1
10071836,1
10072354,1
10072501,1
10072547,1
10072752,1
10072844,1
10073224,1
10073594,1
10073709,1
10074299,1
10075511,1
10075658,1
10075916,1
10076196,1
10076417,1
10078279,1
10078634,1
10079411,1
10079726,1
10079792,1
10079828,1
10080336,1
10080702,1
10081316,1
10081624,1
10082187,1
10082444,1
10082972,1
10083829,1
10084393,1
10085070,1
10085089,1
10085539,1
10085701,1
10085796,1
10085842,1
10086961,1
10087140,1
10087509,1
10087667,1
10087992,1
10088477,1
10088735,1
10089444,1
10089831,1
10089832,1
10095046,1
10095384,1
10095837,1
10095844,1
10095994,1
10096123,1
10096247,1
10096297,1
10096334,1
10096728,1
10096860,1
10097432,1
10123558,1
10141654,1
10193336,1
10193370,1
10193372,1
10200423,1
10201117,1
10201152,1
10201176,1
10201216,1
10201549,1
10201765,1
10201941,1
10202704,1
10202705,1
10202948,1
10203138,1
10203517,1
10204126,1
10204620,1
10204766,1
