P,u
111190-01_10000298_0101,20357.88
111190-01_10000298_0105,20357.88
111190-01_10000298_0109,20357.88
111260-01_10000411_0600,58943.136
111260-11_10000411_0500,148857.0
111240-21_10000416_0300,2040.0
111260-10_10000425_0500,273600.0
111240-21_10000427_0300,2040.0
111240-21_10000433_0300,2400.0
111460-01_10000440_0101,350000.0
111810-01_10000446_0100,660000.0
124600-06_10000467_0100,6800.004
124600-06_10000467_0700,9600.0
110320-04_10000468_0100,720.0
110320-04_10000468_0200,720.0
124240-01_10000474_1000,379728.0
124240-01_10000476_1000,379728.0
111180-08_10000484_0300,15600.0
123520-07_10000511_0101,9000.0
123410-15_10000533_0100,43260.0
123410-15_10000533_0110,43260.0
111650-01_10000566_0100,189999.6
111570-03_10000574_0200,1330.8
123540-05_10000579_0400,4800.0
123540-08_10000579_0600,6003.0
111040-06_10000585_0700,42500.004
111360-03_10000586_1000,238032.0
135150-10_10000598_0900,174.48
135150-15_10000598_0600,946.8
135150-17_10000598_0800,764.52
110980-02_10000644_0701,9600.0
110980-02_10000647_0700,11760.0
110980-02_10000647_0702,11760.0
123510-02_10000685_1000,10632.0
124600-06_10000691_0600,6969.996
123540-06_10000708_0200,11280.0
111040-04_10000712_0200,17460.0
111040-01_10000712_0500,19809.996
151210-95_10000713_0200,60000.0
123540-08_10000714_0200,8400.0
124600-07_10000715_0700,33000.0
151310-01_10000752_0400,728.496
123530-05_10000756_0800,20145.036
123530-05_10000756_0801,20145.036
123530-05_10000756_0802,20145.036
110980-01_10000757_0700,186840.0
110980-01_10000757_0703,186840.0
110980-01_10000757_0707,186840.0
110980-01_10000757_0708,186840.0
110980-02_10000757_0200,44400.0
110980-02_10000757_0201,44400.0
110980-02_10000757_0202,44400.0
110980-01_10000758_0700,111600.0
110980-01_10000758_0701,111600.0
110980-01_10000758_0703,111600.0
110980-01_10000758_0705,111600.0
110980-02_10000758_0200,33720.0
110980-02_10000758_0201,33720.0
110980-02_10000758_0202,33720.0
110980-01_10000761_0700,186240.0
110980-01_10000761_0701,186240.0
110980-01_10000761_0703,186240.0
110980-01_10000761_0704,186240.0
110980-01_10000762_0700,295680.0
110980-01_10000762_0701,295680.0
110980-01_10000762_0702,295680.0
110980-01_10000762_0704,295680.0
123510-05_10000768_1000,14580.0
123510-02_10000781_1000,23820.0
124930-17_10000786_1700,2741.496
124930-17_10000786_1701,2741.496
124930-17_10000786_1710,2741.496
124930-70_10000786_7000,1573.14
124930-05_10000811_0500,6232.404
111180-09_10000836_0300,27792.0
123530-01_10000839_0500,4211.076
123530-01_10000839_0501,4211.076
135120-15_10000879_0200,1053.66
135120-07_10000882_0200,2272.836
151550-05_10000902_0300,27996.0
123540-08_10000960_0200,9000.0
123540-10_10000960_0100,4324.8
110980-01_10000987_0700,149997.6
110980-01_10000987_0701,149997.6
110980-01_10000987_0702,149997.6
110980-01_10000987_0706,149997.6
111190-01_10000987_0100,46532.304
111190-01_10000987_0101,46532.304
111190-01_10000987_0102,46532.304
111190-03_10000987_0300,37488.42
123470-20_10001063_0300,863.28
123530-05_10001066_0800,14817.756
111130-10_10001095_0100,83520.0
111260-02_10001109_0500,194348.22
111260-02_10001109_0520,194348.22
111260-03_10001109_0510,101957.04
140500-01_10001181_0500,287000.004
123080-12_10001247_0700,11520.0
123080-06_10001247_1000,11520.0
123530-05_10001294_0800,14766.492
123530-05_10001294_0801,14766.492
123530-05_10001294_0802,14766.492
110980-01_10001296_0700,297120.0
110980-01_10001296_0701,297120.0
110980-01_10001296_0703,297120.0
110980-01_10001296_0705,297120.0
123530-05_10001308_0800,9409.836
100610-10_10001333_0110,1080.014796
100610-70_10001335_0210,1260.0690479999998
111420-11_10001339_0100,36003.6
111600-06_10001341_0500,825.0
111420-12_10001344_0100,36300.0
111190-02_10001364_0100,13402.8
123090-12_10001388_0800,9999.996
111220-05_10001443_0500,14400.0
124930-13_10001463_130A,4740.744
124930-13_10001463_130B,4740.744
124930-13_10001463_130C,4740.744
124930-13_10001463_131A,4740.744
124930-13_10001463_131B,4740.744
124930-13_10001463_131C,4740.744
124930-17_10001467_1700,3840.0
124930-17_10001470_170A,2890.908
124930-17_10001470_170B,2890.908
124930-17_10001470_170C,2890.908
124930-17_10001470_171A,2890.908
124930-17_10001470_171B,2890.908
124930-17_10001470_171C,2890.908
123550-03_10001481_1000,13800.0
123550-03_10001481_1100,13800.0
110980-01_10001520_0700,127800.0
111220-05_10001523_0500,12000.0
110980-01_10001569_0701,119880.0
110980-01_10001569_0702,119880.0
110980-01_10001569_0703,119880.0
110980-01_10001569_0706,119880.0
110980-01_10001569_0800,119880.0
110980-01_10001569_0801,119880.0
110980-01_10001569_0802,119880.0
110980-01_10001569_0803,119880.0
110980-01_10001569_0804,119880.0
110980-02_10001569_0200,40920.0
110980-02_10001569_0201,40920.0
110980-02_10001569_0900,40920.0
110980-01_10001570_0700,139080.0
110980-01_10001570_0701,139080.0
110980-01_10001570_0702,139080.0
110980-01_10001570_0703,139080.0
110980-01_10001570_0704,139080.0
110980-02_10001570_0200,31800.0
110980-02_10001570_0201,31800.0
110980-02_10001570_0202,31800.0
111190-01_10001570_0100,49899.768
110980-01_10001571_0700,110400.0
110980-01_10001571_0701,110400.0
110980-01_10001571_0702,110400.0
110980-01_10001571_0704,110400.0
110980-01_10001571_0706,110400.0
110980-02_10001571_0200,35400.0
110980-02_10001571_0201,35400.0
110980-02_10001571_0202,35400.0
111190-02_10001575_0100,6865.656
111190-02_10001575_0300,6865.656
111190-02_10001577_0100,13402.8
111190-02_10001577_0300,13402.8
111040-01_10001590_0900,3751.584
111600-02_10001591_0600,15999.996
111600-02_10001591_0700,15999.996
100610-10_10001639_0310,1187.9576880000002
100610-10_10001639_0320,1187.9576880000002
100610-10_10001639_0330,1187.9576880000002
100610-10_10001639_0340,1187.9576880000002
100610-50_10001639_0110,1187.9576880000002
100610-50_10001639_0120,1187.9576880000002
100610-50_10001639_0130,900.0308279999999
100610-50_10001639_0140,1187.9576880000002
112020-03_10001643_0300,3296.16
123530-04_10001655_0800,7139.64
123530-04_10001659_0800,11174.892
111800-01_10001703_0100,600000.0
123410-25_10001709_0300,9701.532
111220-05_10001725_0500,8520.0
111190-02_10001730_0100,13008.6
111190-02_10001731_0100,12767.7
123540-04_10001758_0100,18723.404260000003
112020-02_10001800_0200,35499.996
111190-01_10001902_0101,42486.012
111190-01_10001902_0103,42486.012
111190-01_10001902_0111,42486.012
111190-03_10001902_0301,24601.776
111190-03_10001902_0302,24601.776
111600-01_10001908_0600,9000.0
111600-01_10001911_0500,15000.0
111600-01_10001912_0500,11000.004
100620-01_10001916_0210,1200.0
123080-01_10001922_0400,28138.8
111240-10_10001939_0100,480.0
111260-02_10001953_0500,194735.04280000002
111260-03_10001953_0510,86406.624
111700-09_10002089_0900,720.0
124500-03_10002097_0200,33699.99996
151550-02_10002117_0200,198504.0
135150-16_10002122_0800,351.0
123560-01_10002128_0100,150000.0
123560-01_10002128_0300,150000.0
123540-08_10002131_0300,21000.0
124600-12_10002141_0500,960.0
111040-04_10002153_0100,8037.252
111040-04_10002153_0300,8101.44
111040-01_10002153_0500,13301.004
111040-01_10002153_0400,10677.588
151550-03_10002160_0200,67999.2
123540-08_10002170_0300,21000.0
123540-08_10002172_0500,21000.0
151140-01_10002173_0300,275000.0
123560-01_10002174_0100,150000.0
123560-01_10002174_0300,150000.0
111040-05_10002177_0200,12196.8
123540-06_10002178_0200,15000.0
123540-10_10002196_0500,2400.0
123540-12_10002196_0600,1080.096
111650-03_10002207_0100,3000.0
151210-51_10002209_0500,73333.332
111040-04_10002211_0100,8037.252
111040-04_10002211_0300,8101.44
111040-01_10002211_0400,10677.588
111040-01_10002211_0500,13301.004
123560-01_10002237_1000,150000.0
123540-03_10002243_0200,6600.0
124260-14_10002244_0200,100005.336
151540-01_10002247_0110,99999.6
151540-02_10002247_0200,53600.004
124260-01_10002256_0100,10622.4
111040-05_10002258_0500,12204.72
111560-05_10002282_0200,13140.0
111640-07_10002682_0700,7149.99996
100680-10_10002714_0210,240.0
123540-14_10002736_0200,12499.995
111130-10_10002795_0100,83520.0
124930-17_10002815_1700,2273.688
124930-17_10002815_1710,2273.688
111140-01_10002820_0100,130554.792
123080-12_10002864_0300,900.0
123080-12_10002864_0400,6717.6
123080-15_10002864_0600,3110.004
123080-06_10002864_1300,900.0
123080-06_10002864_1400,6717.6
123180-04_10002923_0400,120000.0
151330-06_10002938_0200,5629.62
110320-04_10002939_0100,480.0
124870-05_10002994_0500,5066.988
111500-01_10003100_0200,5004.0
111190-01_10003110_0101,56235.816
111190-01_10003110_0106,56235.816
111190-01_10003110_0108,56235.816
135130-01_10003241_0100,6871.444896000001
123530-01_10003310_0500,5471.676
123530-04_10003310_0800,11639.172
124260-01_10003313_0300,10622.4
111470-02_10003320_0101,39125.004
151040-04_10003330_0402,1680.0
151040-11_10003330_0202,600.0
151550-04_10003331_0300,424995.996
151550-06_10003331_0600,9600.0
123530-04_10003335_0800,9485.16
111040-05_10003340_0500,12212.64
100610-10_10003344_0110,900.0030840000001
100470-08_10003345_0110,9000.0
100610-70_10003346_0110,1080.001476
100610-70_10003346_0200,1080.014796
