K,P,C,r_x
10000298,111190-01_10000298_0101,1,100.0
10000298,111190-01_10000298_0101,2,100.0
10000298,111190-01_10000298_0101,3,100.0
10000298,111190-01_10000298_0101,4,100.0
10000298,111190-01_10000298_0101,5,100.0
10000298,111190-01_10000298_0105,6,100.0
10000298,111190-01_10000298_0105,7,100.0
10000298,111190-01_10000298_0105,8,100.0
10000298,111190-01_10000298_0105,9,100.0
10000298,111190-01_10000298_0105,10,100.0
10000298,111190-01_10000298_0109,11,100.0
10000298,111190-01_10000298_0109,12,100.0
10000298,111190-01_10000298_0109,13,100.0
10000298,111190-01_10000298_0109,14,100.0
10000298,111190-01_10000298_0109,15,100.0
10000411,111260-01_10000411_0600,16,100.0
10000411,111260-01_10000411_0600,17,100.0
10000411,111260-01_10000411_0600,18,100.0
10000411,111260-01_10000411_0600,19,100.0
10000411,111260-01_10000411_0600,20,100.0
10000411,111260-01_10000411_0600,21,100.0
10000411,111260-01_10000411_0600,22,100.0
10000411,111260-01_10000411_0600,23,100.0
10000411,111260-01_10000411_0600,24,100.0
10000411,111260-01_10000411_0600,25,100.0
10000411,111260-01_10000411_0600,26,100.0
10000411,111260-11_10000411_0500,27,100.0
10000411,111260-11_10000411_0500,28,100.0
10000411,111260-11_10000411_0500,29,100.0
10000411,111260-11_10000411_0500,30,100.0
10000411,111260-11_10000411_0500,31,100.0
10000411,111260-11_10000411_0500,32,100.0
10000411,111260-11_10000411_0500,33,100.0
10000411,111260-11_10000411_0500,34,100.0
10000411,111260-11_10000411_0500,35,100.0
10000411,111260-11_10000411_0500,36,100.0
10000411,111260-11_10000411_0500,37,100.0
10000416,111240-21_10000416_0300,38,100.0
10000416,111240-21_10000416_0300,39,100.0
10000416,111240-21_10000416_0300,40,100.0
10000416,111240-21_10000416_0300,41,100.0
10000416,111240-21_10000416_0300,42,100.0
10000425,111260-10_10000425_0500,43,100.0
10000425,111260-10_10000425_0500,44,100.0
10000425,111260-10_10000425_0500,45,100.0
10000425,111260-10_10000425_0500,46,100.0
10000425,111260-10_10000425_0500,47,100.0
10000425,111260-10_10000425_0500,48,100.0
10000425,111260-10_10000425_0500,49,100.0
10000425,111260-10_10000425_0500,50,100.0
10000425,111260-10_10000425_0500,51,100.0
10000425,111260-10_10000425_0500,52,100.0
10000425,111260-10_10000425_0500,53,100.0
10000427,111240-21_10000427_0300,54,100.0
10000427,111240-21_10000427_0300,55,100.0
10000427,111240-21_10000427_0300,56,100.0
10000427,111240-21_10000427_0300,57,100.0
10000433,111240-21_10000433_0300,58,100.0
10000433,111240-21_10000433_0300,59,100.0
10000433,111240-21_10000433_0300,60,100.0
10000433,111240-21_10000433_0300,61,100.0
10000440,111460-01_10000440_0101,62,100.0
10000440,111460-01_10000440_0101,63,100.0
10000440,111460-01_10000440_0101,64,100.0
10000440,111460-01_10000440_0101,65,100.0
10000440,111460-01_10000440_0101,66,100.0
10000440,111460-01_10000440_0101,67,100.0
10000440,111460-01_10000440_0101,68,100.0
10000440,111460-01_10000440_0101,69,100.0
10000440,111460-01_10000440_0101,70,100.0
10000446,111810-01_10000446_0100,71,100.0
10000446,111810-01_10000446_0100,72,100.0
10000446,111810-01_10000446_0100,73,100.0
10000467,124600-06_10000467_0100,74,100.0
10000467,124600-06_10000467_0700,75,100.0
10000468,110320-04_10000468_0100,76,100.0
10000468,110320-04_10000468_0100,77,100.0
10000468,110320-04_10000468_0100,78,100.0
10000468,110320-04_10000468_0200,79,100.0
10000468,110320-04_10000468_0200,80,100.0
10000468,110320-04_10000468_0200,81,100.0
10000474,124240-01_10000474_1000,82,100.0
10000474,124240-01_10000474_1000,83,100.0
10000474,124240-01_10000474_1000,84,100.0
10000474,124240-01_10000474_1000,85,100.0
10000474,124240-01_10000474_1000,86,100.0
10000476,124240-01_10000476_1000,87,100.0
10000476,124240-01_10000476_1000,88,100.0
10000476,124240-01_10000476_1000,89,100.0
10000476,124240-01_10000476_1000,90,100.0
10000476,124240-01_10000476_1000,91,100.0
10000476,124240-01_10000476_1000,92,100.0
10000476,124240-01_10000476_1000,93,100.0
10000484,111180-08_10000484_0300,94,100.0
10000484,111180-08_10000484_0300,95,100.0
10000511,123520-07_10000511_0101,96,100.0
10000511,123520-07_10000511_0101,97,100.0
10000511,123520-07_10000511_0101,98,100.0
10000533,123410-15_10000533_0100,99,100.0
10000533,123410-15_10000533_0100,100,100.0
10000533,123410-15_10000533_0100,101,100.0
10000533,123410-15_10000533_0100,102,100.0
10000533,123410-15_10000533_0100,103,100.0
10000533,123410-15_10000533_0100,104,100.0
10000533,123410-15_10000533_0100,105,100.0
10000533,123410-15_10000533_0100,106,100.0
10000533,123410-15_10000533_0110,107,100.0
10000533,123410-15_10000533_0110,108,100.0
10000533,123410-15_10000533_0110,109,100.0
10000533,123410-15_10000533_0110,110,100.0
10000533,123410-15_10000533_0110,111,100.0
10000533,123410-15_10000533_0110,112,100.0
10000533,123410-15_10000533_0110,113,100.0
10000566,111650-01_10000566_0100,114,100.0
10000566,111650-01_10000566_0100,115,100.0
10000566,111650-01_10000566_0100,116,100.0
10000566,111650-01_10000566_0100,117,100.0
10000566,111650-01_10000566_0100,118,100.0
10000566,111650-01_10000566_0100,119,100.0
10000574,111570-03_10000574_0200,120,100.0
10000579,123540-05_10000579_0400,121,100.0
10000579,123540-05_10000579_0400,122,100.0
10000579,123540-08_10000579_0600,123,100.0
10000579,123540-08_10000579_0600,124,100.0
10000585,111040-06_10000585_0700,125,100.0
10000585,111040-06_10000585_0700,126,100.0
10000585,111040-06_10000585_0700,127,100.0
10000586,111360-03_10000586_1000,128,100.0
10000586,111360-03_10000586_1000,129,100.0
10000598,135150-10_10000598_0900,130,100.0
10000598,135150-10_10000598_0900,131,100.0
10000598,135150-15_10000598_0600,132,100.0
10000598,135150-15_10000598_0600,133,100.0
10000598,135150-17_10000598_0800,134,100.0
10000598,135150-17_10000598_0800,135,100.0
10000644,110980-02_10000644_0701,136,100.0
10000644,110980-02_10000644_0701,137,100.0
10000644,110980-02_10000644_0701,138,100.0
10000644,110980-02_10000644_0701,139,100.0
10000644,110980-02_10000644_0701,140,100.0
10000647,110980-02_10000647_0700,141,100.0
10000647,110980-02_10000647_0700,142,100.0
10000647,110980-02_10000647_0700,143,100.0
10000647,110980-02_10000647_0700,144,100.0
10000647,110980-02_10000647_0702,145,100.0
10000647,110980-02_10000647_0702,146,100.0
10000647,110980-02_10000647_0702,147,100.0
10000647,110980-02_10000647_0702,148,100.0
10000685,123510-02_10000685_1000,149,100.0
10000685,123510-02_10000685_1000,150,100.0
10000685,123510-02_10000685_1000,151,100.0
10000685,123510-02_10000685_1000,152,100.0
10000685,123510-02_10000685_1000,153,100.0
10000685,123510-02_10000685_1000,154,100.0
10000685,123510-02_10000685_1000,155,100.0
10000685,123510-02_10000685_1000,156,100.0
10000691,124600-06_10000691_0600,157,100.0
10000708,123540-06_10000708_0200,158,100.0
10000708,123540-06_10000708_0200,159,100.0
10000712,111040-04_10000712_0200,160,100.0
10000712,111040-04_10000712_0200,161,100.0
10000712,111040-04_10000712_0200,162,100.0
10000712,111040-01_10000712_0500,163,100.0
10000712,111040-01_10000712_0500,164,100.0
10000712,111040-01_10000712_0500,165,100.0
10000713,151210-95_10000713_0200,166,100.0
10000713,151210-95_10000713_0200,167,100.0
10000713,151210-95_10000713_0200,168,100.0
10000714,123540-08_10000714_0200,169,100.0
10000714,123540-08_10000714_0200,170,100.0
10000715,124600-07_10000715_0700,171,100.0
10000752,151310-01_10000752_0400,172,100.0
10000756,123530-05_10000756_0800,173,100.0
10000756,123530-05_10000756_0800,174,100.0
10000756,123530-05_10000756_0800,175,100.0
10000756,123530-05_10000756_0800,176,100.0
10000756,123530-05_10000756_0800,177,100.0
10000756,123530-05_10000756_0801,178,100.0
10000756,123530-05_10000756_0801,179,100.0
10000756,123530-05_10000756_0801,180,100.0
10000756,123530-05_10000756_0801,181,100.0
10000756,123530-05_10000756_0801,182,100.0
10000756,123530-05_10000756_0802,183,100.0
10000756,123530-05_10000756_0802,184,100.0
10000756,123530-05_10000756_0802,185,100.0
10000756,123530-05_10000756_0802,186,100.0
10000756,123530-05_10000756_0802,187,100.0
10000757,110980-01_10000757_0700,188,100.0
10000757,110980-01_10000757_0700,189,100.0
10000757,110980-01_10000757_0700,190,100.0
10000757,110980-01_10000757_0700,191,100.0
10000757,110980-01_10000757_0703,192,100.0
10000757,110980-01_10000757_0703,193,100.0
10000757,110980-01_10000757_0703,194,100.0
10000757,110980-01_10000757_0703,195,100.0
10000757,110980-01_10000757_0707,196,100.0
10000757,110980-01_10000757_0707,197,100.0
10000757,110980-01_10000757_0707,198,100.0
10000757,110980-01_10000757_0707,199,100.0
10000757,110980-01_10000757_0708,200,100.0
10000757,110980-01_10000757_0708,201,100.0
10000757,110980-01_10000757_0708,202,100.0
10000757,110980-01_10000757_0708,203,100.0
10000757,110980-02_10000757_0200,204,100.0
10000757,110980-02_10000757_0200,205,100.0
10000757,110980-02_10000757_0200,206,100.0
10000757,110980-02_10000757_0200,207,100.0
10000757,110980-02_10000757_0201,208,100.0
10000757,110980-02_10000757_0201,209,100.0
10000757,110980-02_10000757_0201,210,100.0
10000757,110980-02_10000757_0201,211,100.0
10000757,110980-02_10000757_0202,212,100.0
10000757,110980-02_10000757_0202,213,100.0
10000757,110980-02_10000757_0202,214,100.0
