K,P,C,r_y
10002820.0,111190-01_10000298_0101,1,-11.115
10003689.0,111190-01_10000298_0101,2,-78.616
10046459.0,111190-01_10000298_0101,3,-0.7809999999999999
10277266.0,111190-01_10000298_0101,4,-10.269
10544332.0,111190-01_10000298_0101,5,-0.39899999999999997
10002820.0,111190-01_10000298_0105,6,-11.115
10003689.0,111190-01_10000298_0105,7,-78.616
10046459.0,111190-01_10000298_0105,8,-0.7809999999999999
10277266.0,111190-01_10000298_0105,9,-10.269
10544332.0,111190-01_10000298_0105,10,-0.39899999999999997
10002820.0,111190-01_10000298_0109,11,-11.115
10003689.0,111190-01_10000298_0109,12,-78.616
10046459.0,111190-01_10000298_0109,13,-0.7809999999999999
10277266.0,111190-01_10000298_0109,14,-10.269
10544332.0,111190-01_10000298_0109,15,-0.39899999999999997
10000440.0,111260-01_10000411_0600,16,-50.54
10066393.0,111260-01_10000411_0600,17,-0.505
10219358.0,111260-01_10000411_0600,18,-0.638
10234427.0,111260-01_10000411_0600,19,-1.804
10234429.0,111260-01_10000411_0600,20,-1.716
10234430.0,111260-01_10000411_0600,21,-0.514
10234438.0,111260-01_10000411_0600,22,-0.32899999999999996
10234447.0,111260-01_10000411_0600,23,-0.196
10402204.0,111260-01_10000411_0600,24,-0.094
10563321.0,111260-01_10000411_0600,25,-2.296
10711084.0,111260-01_10000411_0600,26,-0.312
10000440.0,111260-11_10000411_0500,27,-50.54
10066393.0,111260-11_10000411_0500,28,-0.505
10219358.0,111260-11_10000411_0500,29,-0.638
10234427.0,111260-11_10000411_0500,30,-1.804
10234429.0,111260-11_10000411_0500,31,-1.716
10234430.0,111260-11_10000411_0500,32,-0.514
10234438.0,111260-11_10000411_0500,33,-0.32899999999999996
10234447.0,111260-11_10000411_0500,34,-0.196
10402204.0,111260-11_10000411_0500,35,-0.094
10563321.0,111260-11_10000411_0500,36,-2.296
10711084.0,111260-11_10000411_0500,37,-0.312
10000440.0,111240-21_10000416_0300,38,-50.211999999999996
10046508.0,111240-21_10000416_0300,39,-0.11199999999999999
10048179.0,111240-21_10000416_0300,40,-0.11199999999999999
10049595.0,111240-21_10000416_0300,41,-51.166000000000004
10234449.0,111240-21_10000416_0300,42,-0.397
10000440.0,111260-10_10000425_0500,43,-26.904
10066393.0,111260-10_10000425_0500,44,-0.958
10214626.0,111260-10_10000425_0500,45,-0.138
10234399.0,111260-10_10000425_0500,46,-0.47100000000000003
10234408.0,111260-10_10000425_0500,47,-20.706
10234418.0,111260-10_10000425_0500,48,-2.0980000000000003
10234422.0,111260-10_10000425_0500,49,-1.5659999999999998
10234427.0,111260-10_10000425_0500,50,-2.9619999999999997
10234429.0,111260-10_10000425_0500,51,-6.64
10234430.0,111260-10_10000425_0500,52,-0.168
10402204.0,111260-10_10000425_0500,53,-0.09300000000000001
10000440.0,111240-21_10000427_0300,54,-20.767
10047761.0,111240-21_10000427_0300,55,-19.991
10048179.0,111240-21_10000427_0300,56,-0.165
10049595.0,111240-21_10000427_0300,57,-61.077
10000440.0,111240-21_10000433_0300,58,-37.923
10001911.0,111240-21_10000433_0300,59,-12.588
10048179.0,111240-21_10000433_0300,60,-0.05
10049595.0,111240-21_10000433_0300,61,-51.483000000000004
