K,P
10000127,123530-01_10780647_0900
10000127,123530-02_10780647_0800
10000127,123680-01_10584918_0100
10000127,123680-03_10089951_0300
10000127,123680-03_10089951_0400
10000127,123680-03_10584918_0100
10000127,124270-01_10591568_0100
10000298,111190-01_10000298_0101
10000298,111190-01_10000298_0105
10000298,111190-01_10000298_0109
10000331,134130-05_10005274_1400
10000409,111610-02_10544222_0200
10000409,111610-02_11029600_0100
10000411,111120-07_10606472_0300
10000411,111120-07_10785583_0300
10000411,111120-07_10975022_0300
10000411,111260-01_10000411_0600
10000411,111260-11_10000411_0500
10000416,111240-21_10000416_0300
10000425,111260-10_10000425_0500
10000427,111240-21_10000427_0300
10000433,111240-21_10000433_0300
10000440,111230-06_10007932_0100
10000440,111230-06_10007932_0200
10000440,111230-06_10008111_0100
10000440,111230-06_10008111_0200
10000440,111230-06_10064402_0100
10000440,111230-06_10064402_0200
10000440,111230-06_10067660_0100
10000440,111230-06_10067660_0200
10000440,111230-06_10070668_0100
10000440,111230-06_10070668_0200
10000440,111230-06_10087187_0200
10000440,111230-06_10201798_0100
10000440,111230-06_10201798_0200
10000440,111230-06_10202135_0100
10000440,111230-06_10202135_0200
10000440,111230-06_10204538_0100
10000440,111230-06_10204538_0200
10000440,111230-06_10207201_0100
10000440,111230-06_10207201_0200
10000440,111230-06_10210990_0100
10000440,111230-06_10210990_0200
10000440,111230-06_10211150_0100
10000440,111230-06_10211150_0200
10000440,111230-06_10211274_0100
10000440,111230-06_10211274_0200
10000440,111230-06_10211276_0100
10000440,111230-06_10211276_0200
10000440,111230-06_10234339_0600
10000440,111230-06_10290113_0100
10000440,111230-06_10290113_0200
10000440,111230-06_10520925_0100
10000440,111230-06_10520925_0200
10000440,111230-06_10537771_0100
10000440,111230-06_10537771_0200
10000440,111230-06_10566888_0100
10000440,111230-06_10566888_0300
10000440,111230-06_10581250_0100
10000440,111230-06_10581250_0200
10000440,111230-06_10596825_0300
10000440,111230-06_10596825_0400
10000440,111230-06_10603449_0100
10000440,111230-06_10603449_0300
10000440,111230-06_10603731_0300
10000440,111230-06_10603731_0400
10000440,111230-06_10606773_0500
10000440,111230-06_10606773_0600
10000440,111230-06_10703850_0300
10000440,111230-06_10703850_0400
10000440,111230-06_10713748_0100
10000440,111230-06_10713748_0200
10000440,111230-06_10748624_0200
10000440,111230-06_10748624_0300
10000440,111230-06_10861977_1111
10000440,111230-06_10873936_0400
10000440,111230-06_10879645_0200
10000440,111230-06_10879645_0300
10000440,111230-06_10880595_1111
10000440,111230-06_10882870_0100
10000440,111230-06_10882870_0300
10000440,111230-06_10913865_0200
10000440,111230-06_10913865_0300
10000440,111230-06_10923977_0100
10000440,111230-06_10925745_1111
10000440,111230-06_10933957_0100
10000440,111230-06_10933957_0200
10000440,111230-06_10934610_0200
10000440,111230-06_10934610_0300
10000440,111230-06_10957089_0300
10000440,111230-06_10965899_0300
10000440,111230-06_10970539_0200
10000440,111230-06_10975622_1111
10000440,111230-06_10975650_0200
10000440,111230-06_10975650_0300
10000440,111230-06_10977545_1111
10000440,111230-06_10981341_1111
10000440,111230-06_10990525_1111
10000440,111230-06_10991906_1111
10000440,111230-06_10991907_1111
10000440,111230-06_10992173_0100
10000440,111230-06_10992173_0200
10000440,111230-06_10994393_0100
10000440,111230-06_10994393_0200
10000440,111230-06_10999733_0200
10000440,111230-06_10999733_0300
10000440,111230-06_10999735_1111
10000440,111230-06_11001698_1111
10000440,111230-06_11001837_1111
10000440,111230-06_11010065_0200
10000440,111230-06_11010065_0300
10000440,111230-06_11010808_1111
10000440,111230-06_11017634_1111
10000440,111230-06_11017665_1111
10000440,111230-06_10999744_1111
10000440,111230-06_10880595_0300
10000440,111230-06_10999744_0100
10000440,111230-06_11037808_1111
10000440,111230-06_11038103_1111
10000440,111230-06_11036843_1111
10000440,111230-06_10990525_0100
10000440,111230-06_10991906_0300
10000440,111230-06_11038731_1111
10000440,111230-06_11041537_1111
10000440,111230-06_11042219_1111
10000440,111230-16_10204285_0100
10000440,111240-12_10017937_0100
10000440,111240-12_10207217_0100
10000440,111240-16_10061404_0200
10000440,111240-21_10000416_0300
10000440,111240-21_10000427_0300
10000440,111240-21_10000433_0300
10000440,111240-21_10208776_0300
10000440,111240-21_10506855_0300
10000440,111240-21_10518812_0200
10000440,111260-01_10000411_0600
10000440,111260-01_10064208_0500
10000440,111260-01_10070668_0500
10000440,111260-01_10075658_0600
10000440,111260-01_10087187_0500
10000440,111260-01_10088092_0520
10000440,111260-01_10200358_0400
10000440,111260-01_10200990_0500
10000440,111260-01_10206982_0620
10000440,111260-01_10207201_0510
10000440,111260-01_10210827_0510
10000440,111260-01_10210987_0620
10000440,111260-01_10210989_0500
10000440,111260-01_10211274_0300
10000440,111260-01_10213097_0800
10000440,111260-01_10214085_0500
10000440,111260-01_10234339_0500
10000440,111260-01_10244043_0510
10000440,111260-01_10520104_0500
10000440,111260-01_10579452_0300
10000440,111260-01_10579452_0400
10000440,111260-01_10588639_0500
10000440,111260-01_10588840_0300
10000440,111260-01_10603731_0500
10000440,111260-01_10709148_0100
10000440,111260-01_10748892_0400
10000440,111260-01_10781543_0100
10000440,111260-01_10831370_0200
10000440,111260-01_10839311_0100
10000440,111260-01_10870400_0500
10000440,111260-01_10913865_0100
10000440,111260-01_10913865_0400
10000440,111260-01_10933957_0300
10000440,111260-01_10955317_0100
10000440,111260-01_10963780_0100
10000440,111260-01_10970945_0400
10000440,111260-01_10970945_0500
10000440,111260-01_10975650_0100
10000440,111260-01_10997788_0300
10000440,111260-01_10934610_0500
10000440,111260-01_10879645_0400
10000440,111260-01_10980711_0100
10000440,111260-01_10999735_0100
10000440,111260-01_11036590_0100
10000440,111260-02_10001109_0500
10000440,111260-02_10001109_0520
10000440,111260-02_10001953_0500
10000440,111260-02_10009397_0510
10000440,111260-02_10009397_0520
10000440,111260-02_10009397_0530
10000440,111260-02_10061083_0709
10000440,111260-02_10061083_0710
10000440,111260-02_10064207_0500
10000440,111260-02_10073709_0510
10000440,111260-02_10087187_0510
10000440,111260-02_10087992_0510
10000440,111260-02_10087992_0530
10000440,111260-02_10206673_0500
10000440,111260-02_10206673_0600
10000440,111260-02_10207964_0510
10000440,111260-02_10207964_0520
10000440,111260-02_10210827_0500
10000440,111260-02_10210827_0600
10000440,111260-02_10244043_0500
10000440,111260-02_10508450_0500
10000440,111260-02_10508450_0600
10000440,111260-02_10520104_0600
10000440,111260-02_10520104_0700
10000440,111260-02_10567149_0500
10000440,111260-02_10567149_0600
10000440,111260-02_10606772_0600
10000440,111260-02_10709136_0300
10000440,111260-02_10709136_0600
10000440,111260-02_10709148_0300
10000440,111260-02_10748892_0500
10000440,111260-02_10748892_0600
10000440,111260-02_10813204_0100
10000440,111260-02_10933957_0500
10000440,111260-02_10933957_0600
10000440,111260-02_10955317_0600
10000440,111260-02_10234339_0700
10000440,111260-02_10588639_0700
10000440,111260-02_10588639_0800
10000440,111260-03_10001109_0510
10000440,111260-03_10001953_0510
10000440,111260-03_10061083_0700
10000440,111260-03_10073709_0500
10000440,111260-03_10206982_0610
10000440,111260-03_10207964_0500
10000440,111260-03_10210987_0610
10000440,111260-03_10508450_0700
10000440,111260-03_10813204_0700
10000440,111260-03_10955317_0200
10000440,111260-03_10970945_0100
10000440,111260-03_10980711_0700
10000440,111260-10_10000425_0500
10000440,111260-10_10206982_0600
10000440,111260-10_10206982_0630
10000440,111260-10_10210987_0600
10000440,111260-10_10210987_0630
10000440,111260-10_10210987_0640
10000440,111260-10_10588840_0400
10000440,111260-10_10980711_0300
10000440,111260-10_10980711_0600
10000440,111260-10_10234339_0700
10000440,111260-10_10234339_0600
10000440,111260-11_10000411_0500
10000440,111260-11_10009397_0500
10000440,111260-11_10071545_0500
10000440,111260-11_10079726_0500
10000440,111260-11_10082944_0500
10000440,111260-11_10082944_0510
10000440,111260-11_10084121_0700
10000440,111260-11_10084121_0800
10000440,111260-11_10087992_0500
10000440,111260-11_10087992_0540
10000440,111260-11_10088092_0500
10000440,111260-11_10088092_0510
10000440,111260-11_10095240_0500
10000440,111260-11_10095240_0600
10000440,111260-11_10200990_0600
10000440,111260-11_10205163_0500
10000440,111260-11_10205163_0510
10000440,111260-11_10205211_0500
10000440,111260-11_10205211_0600
10000440,111260-11_10207201_0500
10000440,111260-11_10207201_0600
10000440,111260-11_10208359_0500
10000440,111260-11_10208359_0510
10000440,111260-11_10209908_0500
10000440,111260-11_10209908_0510
10000440,111260-11_10211142_0500
10000440,111260-11_10211142_0510
10000440,111260-11_10233814_0500
10000440,111260-11_10233814_0510
10000440,111260-11_10606773_0300
10000440,111260-11_10606773_0400
10000440,111260-11_10831370_0300
10000440,111260-11_10955317_0400
10000440,111260-11_10970945_0600
10000440,111260-11_10970945_0700
10000440,111260-11_10975650_0400
10000440,111260-11_10975650_0500
10000440,111260-11_10588639_0700
10000440,111260-11_10588639_0800
10000440,111460-01_10000440_0101
10000440,151450-01_10069643_0100
10000441,111230-06_10063694_0600
10000441,111230-06_10063713_0100
10000441,111230-06_10063713_0200
10000441,111230-06_10067660_0100
10000441,111230-06_10067660_0200
10000441,111230-06_10077490_0100
10000441,111230-06_10077490_0200
10000441,111230-06_10087071_0100
10000441,111230-06_10087071_0200
10000441,111230-06_10211150_0100
10000441,111230-06_10211150_0200
10000441,111230-06_10603449_0100
10000441,111230-06_10603449_0300
10000441,111230-06_10739817_0200
10000441,111230-06_10739817_0300
10000441,111230-06_10814907_0100
10000441,111230-06_10814907_0200
10000441,111230-06_10839115_1111
10000441,111230-06_10861977_1111
10000441,111230-06_10923977_0100
10000441,111230-06_11001698_1111
10000441,111230-06_11001837_1111
10000441,111230-06_11010808_1111
10000441,111230-06_11019881_1111
10000441,111230-06_10999744_1111
10000441,111230-06_10999744_0100
10000441,111240-21_10506855_0300
10000446,111800-01_10001703_0100
10000446,111800-01_10911524_0100
10000446,111810-01_10000446_0100
10000446,111860-40_10076484_0071
10000446,111860-40_10860884_0070
10000446,111860-40_10860884_0081
10000446,111860-40_10869482_0071
10000461,123680-05_10911159_0400
10000461,123680-05_10911159_0400
10000461,123680-23_10911159_0500
10000464,135120-10_10015258_0300
10000464,135120-10_10075817_0100
10000464,135120-10_10086963_0100
10000464,135120-10_10261960_0100
10000464,135120-10_10954523_0100
10000467,123540-05_10006066_0100
10000467,124600-06_10000467_0100
10000467,124600-06_10000467_0700
10000468,110320-04_10000468_0100
10000468,110320-04_10000468_0200
10000474,124240-01_10000474_1000
10000474,124550-01_10555858_1000
10000476,111040-04_10000712_0200
10000476,111360-01_10564628_1000
10000476,111700-03_10003670_0500
10000476,124240-01_10000476_1000
10000476,124270-01_10077451_0500
10000476,124870-03_10061329_0500
10000476,124870-03_11022888_0100
10000476,124870-16_10211758_0100
10000476,111040-01_10000712_0500
10000484,111180-08_10000484_0300
10000484,111180-08_10608407_0100
10000484,111190-01_10205499_0400
10000484,111190-01_10205499_0401
10000484,111190-01_10205499_0402
10000484,111190-01_10849141_0100
10000484,111190-01_10849141_0101
10000484,111190-01_10849141_0102
10000484,111190-01_10990438_0100
10000484,111190-01_10990438_0101
10000484,111190-01_10990438_0102
10000484,111190-03_10205499_0300
10000484,111190-03_10205499_0301
10000484,111190-03_10848567_0400
10000484,111190-03_10990438_0300
10000484,111240-06_11018259_0100
10000484,111580-04_10062585_0400
10000484,123020-24_10962223_0700
10000484,123020-24_11006316_0100
10000484,123590-06_11016416_0100
10000511,123520-07_10000511_0101
10000533,123410-15_10000533_0100
10000533,123410-15_10000533_0110
10000553,111800-01_10001703_0100
10000553,111800-01_10911524_0100
10000553,140500-01_10001181_0500
10000554,123410-15_10014806_0200
10000554,123410-15_10014806_0210
10000554,123410-15_10071258_0300
10000560,123550-10_10219791_1000
10000561,123550-09_10067291_1000
10000561,123550-09_11040141_1000
10000561,123550-10_10219792_1100
10000566,111040-06_10000585_0700
10000566,111040-06_10202334_0100
10000566,111500-01_10071922_0200
10000566,111650-01_10000566_0100
10000566,123080-08_10594895_0200
10000566,124270-01_10963394_0100
10000566,124930-70_10213638_7000
10000566,111040-01_10001590_0900
10000574,110320-04_10000468_0100
10000574,110320-04_10000468_0200
10000574,110320-04_10076196_0300
10000574,110320-04_10208979_0100
10000574,111570-03_10000574_0200
10000579,111150-07_10064551_0100
10000579,123540-05_10000579_0400
10000579,123540-08_10000579_0600
10000585,111040-06_10000585_0700
10000585,111610-01_10598137_0100
10000585,111610-04_10068571_0600
10000585,111610-04_10544021_0600
10000585,111610-04_10606510_0100
10000585,111640-03_10086915_0330
10000585,111640-08_10086915_0800
10000585,124260-06_10544185_0400
10000586,111350-13_10514778_6310
10000586,111350-13_10514800_6310
10000586,111350-13_10588306_6310
10000586,111350-13_10604774_6310
10000586,111350-13_10728158_6310
10000586,111350-14_10011664_6411
10000586,111350-14_10016851_6408
10000586,111350-14_10076425_6411
10000586,111350-14_10211386_6410
10000586,111350-14_10213712_6411
10000586,111350-14_10514778_6410
10000586,111350-14_10514800_6410
10000586,111350-14_10584117_6410
10000586,111350-14_10584121_6410
10000586,111350-14_10585404_6408
10000586,111350-14_10585445_6408
10000586,111350-14_10585641_6410
10000586,111350-14_10588306_6410
